id,joke
0,当你错误地种植过多的种子时，每粒种子都会长大。
1,我们为什么要洗浴巾？我们使用时不清洁吗？如果不是那么洗澡的目的是什么？
2,顾客：你们的意见本在哪儿？我想提意见。 服务员：是表扬还是批评？ 顾客：是写批评意见。 服务员：那好，我们这里代卖信纸，一毛一张。
3,为什么爱尔兰人把空牛奶盒放在冰箱里？
4,某人向朋友倾诉：有两次我下班回家，看见太太和一个男人搂抱，你说我该怎么办？ 我不知道，朋友回答，但你何不试试加班工作？
5,我曾尝试过一次生命，但他们缺货了。
6,要问是一时的耻辱。不要求并且保持无知是一辈子的耻辱。
7,让那只猫从袋子里拿出来比把它放回去要容易得多。
8,那天我一边吃冰淇淋一边骑自‍行车骑着骑着，突然感觉冰淇淋融化了滴了一滴在手上，哥毫不犹豫的舔了一下。 尼玛是鸟屎。
9,如果您正在寻找一些特定的，请使用此搜索引擎。
10,妻子从旅游地给丈夫拍了一份电报：4个星期体重减轻一半，我可以再呆多久？ 丈夫回电：再呆4个星期！
11,活鱼会逆流而上，死鱼则随波逐流。
12,在课堂上，某老师说，小时候，妈妈经常跟我说天使的故事。 一位同学说，老师，你家就那么喜欢屎啊，还把屎说到天上去了。
13,曾几何时，有一只不合格的麻雀决定不向南飞去过冬。
14,如果某些东西是保密的，它将被留在复印机中。
15,在生命的牧场上，不要成为一个喜鹊。
16,甲：张老师是最严厉的，你运气真好，不在她班上。 乙：可她是我妈妈。
17,朋友们聚会，席间有人发表感慨：唉，现在有些男人说话娘娘腔，活象个太监。 话音刚落，又响起一个细细的声音为何都看着我！！
18,你可能有一颗金子般的心脏，但煮熟的鸡蛋也是如此。
19,甲：“坐在前排那个丑八怪是谁呀？” 乙：“那是我哥哥呀。” 甲：“啊，真对不起，我没注意到你们是那么相像。”
20,在混乱之中，一个声音说：微笑并且快乐，因为它总是会变得更糟。我笑了，我很高兴，而且确实变得更糟。
21,寒假作业是什么概念：我们写一个月，老师写一个阅。
22,一位护士小姐走进病房里，好容易才弄醒了一个已经酣然入睡的患者。 你要干什么？病人很不高兴。 你必须按时服药。护士小姐说完，同时递上两粒安眠药。
23,在排练中，管乐队的指挥对乐队队员提出意见： 第二小号手吹得不准。 乐队中一个声音传来：他还没来呢！ 那好，待他来了再告诉他。
24,老爸说：“你们现在的答题卡怎么像彩票一样？？” 儿子答：“其实性质差不多。~”
25,宠物店里，老板对一个想买鹦鹉的顾客说：很抱歉，鹦鹉卖完了，你不如买只啄木鸟吧！ 怎么，它也会说话？ 不，它更实用，会打电报。
26,他在里面发现了一批自制饼干和他最喜欢的美国电视剧的录像带。
27,永远记得仔细校对，看看你有没有说出来。
28,数学文盲影响每5人中有8人。
29,你改变关于自己的一切都无法治愈，这没什么不对。
30,早上的人们：“早睡早起让人健康，富裕，聪明。”夜人：“任何一个人在起床的同一天上床睡觉都是一种戒烟。”
31,伯伯，我要买一本《儿童时代》。 买它要搭一本别的书。 搭配的是什么书呀？ 一本《老年天地》。
32,如果你在她之前得到晋升，那就是偏袒。
33,同学失恋，我去安慰她，说了一句：“节哀顺便 。” 女同学听后想了三秒擦完眼泪， 挤出点微笑说：“那么多人就你会安慰人。”
34,老师：乔尼，学生守则一共几条？ 乔尼：十条。 老师：如果你破坏了其中的一条…… 乔尼：那还有九条！
35,如果你今天“不是自己”，那么尽情享受吧
36,很少有女性承认自己的年龄。更少的人采取行动。
