id,joke,label
0,如果素食者只吃蔬菜，那么人道主义者呢？,1
1,妻子：亲爱的，请告诉我，我是你的最爱吗？ 丈夫：不，亲爱的！你是我的最最最爱。,1
2,纳税人是指不必通过公务员考试为政府工作的人。,1
3,夏天来了，天气热了，一群SB往北飞，一会儿排成个S字，一会儿排成个B字。,1
4,老师问我：“那你身上怎么会有烟味？” 我想了想，答曰：“体香。,1
5,今天在饭店见证了邻桌姑娘被搭讪的全程。 一个帅气的男生对她说了两句话，第一句是：你一个人吗？ 姑娘矜持地点点头，男生接着说：一个人吃这么多呀？,1
6,今天早上上班的时候看见了表姐，于是上前和她打招呼。 本来想说：这么早干嘛去啊！表姐！没想到张嘴变成了这么早干嘛去啊！婊子！,1
7,你将永远听不到的30件事艾伯塔男孩说.....,0
8,张三天天玩牌，常常夜不归宿。 他老婆不高兴地抱怨说：“如果你再这样的话，我就要把男人带回家过夜。” “随便你啦！不过你得注意，不能拉我的牌友。”,1
9,老师：灵灵同学请你用‘糖’字造一个句子。 灵灵：我在喝牛奶。 老师：糖呢？ 灵灵：在牛奶里啊！,1
10,那些说你买不到快乐的人不知道在哪里购物。,1
11,中国有风险，投胎须谨慎。,1
12,如果你是最后一个女人而我是地球上的最后一个男人，我们可以在公共场合做。,0
13,年龄是一个关于物质的思想问题。如果你不介意，那没关系。,0
14,一男养一猪，烦，弃之。然其猪知家之归路，数弃未果。庶日，男驾车弃猪，当晚致电其妻曰：猪归否？妻曰：归矣！男吼道：让它接电话，我迷路了！,1
15,我可能很胖，但你很难看 - 我可以减肥！,0
16,邓小平到苏联访问。 赫鲁晓夫握着邓小平的手看着邓小平说：“小平同志，你是亚洲巨人啊！”。 邓小平看着赫鲁晓夫的秃头说：“赫鲁晓夫同志，你是欧洲的一盏明灯吧！”,1
17,病人进牙医诊所开始猛掏腰包。 牙医：“你不用先付钱。” 病人：“我不是要先付钱，而是想在你给我麻醉前，算清我钱包里有多少钱。”,1
18,在黑暗中我牵着你的手，因为在光明中你看起来像个男人。,1
19,死亡和税收是不可避免的，但至少每年死亡都不会恶化。,1
20,老师：“人类征服北极对我们有什么意义？” 学生：“意味着我们又要多背一道大题。”,1
21,把钱翻倍的最快方法就是折叠并把它放回口袋里。,1
22,互联网上的朋友比现实生活中的朋友多。,0
23,我想像一个有很多钱的穷人一样生活。,0
24,你有没有注意到......任何一个比你变得迟钝的人都是白痴。任何人走得更快都是疯子。,1
25,男人为钱常常失信，女人为钱往往失身。,1
26,票据以两倍于支票的速度通过邮件。,1
27,一日，夏天，老师穿一矮领T恤站于讲台，双手撑在桌上观看学生做作业。 忽然收到一张学生传过来的纸条：站直了~小心走光！,1
28,我并不是说要成为一个势利小人，而是直接从威尼斯获得威尼斯百叶窗。,1
29,语文课上，老师出‍了个上联“烟锁池塘柳”，要求我们对出的下联必须含有金木水火土的偏旁。 同桌流着口水站起来对了下联：“深圳铁板烧。”,1
30,现在父母们都非常担心两件事情： 儿子从网上下载了什么， 还有女儿上传了什么到网上！！！,1
31,就像你的人坐下一样，你不能跳上马桶座。,0
32,你可以不时地坐在你的怜悯锅上。完成后一定要冲洗。,0
33,在您装入洗衣机后，洗衣机不会跟踪您一周。,0
34,有三个人在酒吧，医生，律师和骑自行车的人喝酒。,0
35,由于冲突，原定于今天举行的建立和平会议已经取消。,1
36,为这一生而生活的人只会永远地后悔。,0
37,对于喜欢和平与宁静的人：无绳电话。,0
38,如果我过上自己的生活，我会少说话，多听。,0
39,邻居甲：“借你家录音机用用。” 邻居乙：“好的，原来你也喜欢欣赏音乐呀”。 邻居甲：“不是，我只想安静的睡一宿”,1
40,有个著名演员同一个姑娘聊天。 “你不认识我吗？”演员问。 姑娘摇头。 “常进电影院的人都认识我。” 姑娘眼睛一亮：“你都坐在什么位置？”,1
41,玩面团和微波不应该在同一个句子中使用。,0
42,纽约这样一个美好的城市。虽然我今天在图书馆。这些家伙很粗鲁。我说，“我想要一张卡片。” 他说，“你必须证明你是纽约的公民。” 所以我刺伤了他。,1
43,妈妈：你今天又偷喝了爸爸的酒了吧？ 东尼：没有呀？ 妈妈：那为什么衣服上有酒味？ 东尼：不可能，我喝酒时一点也没有洒在衣服上。,1
44,小乖乖，告诉爸爸，三加二等于多少？父亲问儿子。 站在一旁的家庭教师连忙伸出五个指头向孩子摇了摇，说：你看，这是什么？ 是爪子！,1
45,由于泌尿科的混合，今天早上将不提供橙汁。,1
46,看到要求背诵全文后的小明求着老师让他背诵全文。,1
47,爱情的悲剧原因：好起来不给对方空间，恨起来不给对方机会。,1
48,你可能会因过于信任而过于怀疑而出错。,0
49,“这个段子有点正常啊。”王老汉说完公孙门干从骨灰盒里跳了出来。,1
50,单击浏览器上的“返回”按钮返回到您的类别。,0
51,老板：一块五一斤。 我：太贵了，五块钱三斤吧。 老板：不行不行。,1
52,上帝并没有告诉我们一切，只是我们需要知道的一切。,0
53,一位客人鼓励她说：“不要紧，你妈妈平常说什么，你就照着什么说好了。” 女儿于是尖声地说：“老天！我为什么要请客？我们家的钱都流到哪儿去了？”,1
54,傍晚，一对初恋青年男女相约去电影院。 姑娘：你最喜欢看什么影片？ 小伙子：《姑娘望着我》，你呢？ 姑娘：《南洋富翁》。,1
55,我从不在午餐时喝咖啡。我发现它让我在下午保持清醒。,1
56,上帝肯定会原谅我的，因为那是他的职业。,1
57,看见诸葛亮的草船曹冲不慌不忙算出了诸葛亮的体重。,1
58,上次去麦当劳，对营业员说：来一包薯片，人家说没有。我说，什么店啊连薯片都没有，说完转身就走了。,1
59,亲爱的：我正在扣我的衬衫。现在我穿上鞋子。,0
60,成功：你所做的事情永无止境地改善。,0
61,"鄙视我的人那么多,你算老几?",1
62,什么是世界上最安静的地方？降落伞包装厂的投诉部门。,1
63,老天，你让夏天和冬天同房了吧？生出这鬼天气!,1
64,某男学习普通话，他平舌和翘舌分不清，结果被培训老师指了出来你翘错地方了（指舌头）。于是引来一堂哄笑。,1
65,小朋友谈恋爱。 男孩:我爱你愿意和我一起看月亮吗? 女孩:有糖我就去.,1
66,假的婴儿奶粉还没有草有营养，当初还不如吃草了！,1
67,一个美丽的人和一个老人住在这里。,0
68,成功是相对的 - 成功越多，亲戚就越多。,1
69,你也算是变态界的一朵奇葩。,1
70,怪不得植物人普遍四肢发达，摸不到头脑。,1
71,当你和白痴争吵时，要确保对方没有做同样的事情。,0
72,温妮和我住在一个静电的房子里。如果你想运行搅拌机，你必须在头上擦气球。如果你想做饭，你必须快速脱掉一件毛衣。,1
73,在许多旅程开始时目的地是未知的。,0
74,幸福是在另一个城市拥有一个庞大，充满爱心，关怀，亲密的家庭......,0
75,乡村小学的一个学生迟到，他向老师解释说：我今天早晨要把一头猪送去配种。 老师问：这事你爸爸不能做吗？ 不行，一定要公猪才行。,1
76,这天我买了件新衣服，想臭美一下，便问两岁半的儿子：“宝贝，妈妈漂亮不？” 儿子答曰：“妈妈不漂亮，奶奶漂亮！”,1
77,万恶的新社会啊，为什么你就没有包办婚姻了？,1
78,当我可以花费时间来担心未来时，为什么要浪费时间重温过去呢？,1
79,不要把它想象成潮热。把它想象成你内心的孩子在玩火柴。,0
80,神经衰弱的第一个迹象是，当你开始认为你的工作非常重要时。,0
81,不要让这么多现实进入你的生活，因为没有空间留给梦想。,0
82,女：你每一样东西都比不上任何人！ 男：对，尤其是女朋友！,1
83,不要迷恋姐，姐卸了妆要你吐血。,1
84,一对送葬的队伍抬着一个棺材，路边乞丐的儿子问：爸爸，他们去哪里呢？乞丐说：去一个黑暗的地方，没有吃，没有喝。乞丐的儿子说：那不是我们住的地方吗？,1
85,永远不要认为战争，无论多么必要，也不合理，都不是犯罪。,0
86,大学是一个年轻人在服从母亲和屈服于妻子之间的自由的明显插曲。,0
87,你主人买的药怎能同我的比呢？鼠妈妈不紧不慢地说：我是从市第一医院的院长家里拿来的嘛。,1
88,你独特的团队夹克展示了战斗补丁和徽章。,0
89,妻子对退休的定义：丈夫支付的两倍多。,1
90,如果我错了，请拧我，但我们之前见过面吗？,0
91,朋友开一饭店，最大的特色是：服务员态度恶劣。 劝朋友：“得管管了。” 朋友：“不敢管，说句重话就都不干了。小蜜好找，服务员难招！”,1
92,有人问一位科学家：“你试验一种新型电池总是失败，为什么还要继续试验？” 科学家回答：“失败？我从来没有失败过，我现在已经知道了5万种不能制造这种电池的方法。”,1
93,职员：“经理，你们的会开了这么久，做出什么决定了？” 经理：“是啊，我们决定下周再开一次会，讨论一下年会什么时候开。”,1
94,在他们所有的东西都没有从阁楼里出来之前，巢不是空的。,0
95,如果一开始你没有成功，你会从那些没有成功的人那里得到很多免费的建议。,0
96,我敢打赌住在一个裸体殖民地，可以带走万圣节的乐趣。,0
97,如果它不是残酷和不寻常的，那不是惩罚。,0
98,成名：主要是在正确的时刻死亡的问题。,0
99,尽可能保持尖端的前进始终是一个好主意。,0
100,当你最终购买足够的内存时，你将没有足够的磁盘空间。,1
101,我给了儿子一个提示。在他的房间门口，我竖起了一个牌子：“结账时间是18”,0
102,人类的大脑是一件美妙的事情。它会在你出生的那一刻开始工作，直到你站起来在公共场合说话才会停止。,0
103,你可以每个月提交尽可能多的笑话。,0
104,一女生跟男朋友分手了，旁边她同学安慰她：“那男的有什么好，土木工程的，一听就知道又“土”又“木”的！” 旁边软件工程的男同学一听，心都凉了半截…,1
105,清晨，阳光刺到了正在酣睡中的儿子的脸上。儿子不耐烦地喊道：关灯！ 妈妈答道：这哪是灯呀？这是太阳。儿子又咆哮起来：关太阳。,1
106,恩格斯说，男人爱女人的自然属性，女人爱男人的社会属性。,1
107,他说：“你让我想起一个胡椒罐”，我说“我会把它作为一种调味品”。,0
108,她在最后一次手术后走出医院，立即被救护车撞倒。,1
109,我可以理解为什么禁止将大部分东西从帝国大厦的顶部扔掉，但是一点点的奶酪有什么问题？他们甚至可能在击中前分解成各种气体。,0
110,在海滩上租房子之前，你永远不会知道有多少朋友。,1
111,这地球少了谁都照样转，就是少了我会反着转。,1
112,没心没肺没感觉，没情没爱没顾虑。,1
113,爱情，就像油漆一样，可以在你展开时使美丽变得美丽，但是当你不使用它时它会干涸。,0
114,有时你是鸟，有时你是挡风玻璃。,1
115,定义：数学芯片 - 一块破碎的算盘。,1
116,贪吃没什么不对，只要你不过分。,1
117,在大多数情况下，所有论证都证明有两个人在场。,0
118,我喜欢石头！这些年来，我无法相信他们仍然在做这件事。弗雷德和巴尼，我随时随地都能看到他们。,0
119,为什么男人一见钟情？它为他们节省了大量时间。,1
120,不知道怎么搞的最近总是失眠，16小时就醒一次。,1
121,你怎么翻倍平托的价值？装满油箱。,0
122,你觉得横着还是竖着死帅一些？哥可以成全你！,1
123,现在的女生太不害臊了，老是偷瞄我，搞得我都不好意思监考了。,1
124,毫无疑问，所有女性都疯了。这只是一个学位问题。,0
125,偶在家看世界杯时说：“偶喜欢托蒂！” 妈妈在旁边听见了说：“哼，说得好听，我怎么没见你拖！”,1
126,女人喜欢有安全感的男人；男人却往往被缺乏安全感的女人吸引。,1
127,语文老师：“哪有‘半斤五两’这句成语？” 学生：“考数学时，我答半斤等于八两得了零分。” 语文老师：“记住，作文时不能用老秤。”,1
128,老公去找工作回来跟老婆抱怨：“今天累死了，爬了18层楼！” 问他为什么不坐电梯，还以为电梯坏了。 结果老公愤恨地说：“电梯只到单数层下！”,1
129,我并非完全无用......我可以习惯于树立一个坏榜样。,1
130,每当冲锋号响起，我就赶紧躲进壕沟里，因为：我是卧底！,1
131,刺猬：近不得，远不得，有名的刺儿头，早被划入“剃头”之列。,1
